sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;wheelSpeed;
1562328525;214633;1562328525;214647;1562328525;214537;0;
1562328525;224658;1562328525;224671;1562328525;224556;0;
1562328525;234652;1562328525;234664;1562328525;234574;0;
1562328525;244679;1562328525;244688;1562328525;244593;0;
1562328525;254435;1562328525;254452;1562328525;254312;0;
1562328525;264613;1562328525;264625;1562328525;264530;0;
1562328525;274620;1562328525;274630;1562328525;274549;0;
1562328525;284143;1562328525;284154;1562328525;284068;0;
1562328525;294669;1562328525;294678;1562328525;294588;0;
1562328525;304576;1562328525;304585;1562328525;304506;0;
1562328525;314667;1562328525;314682;1562328525;314524;0;
1562328525;324625;1562328525;324635;1562328525;324543;0;
1562328525;334436;1562328525;334447;1562328525;334362;0;
1562328525;344660;1562328525;344668;1562328525;344580;0;
1562328525;354595;1562328525;354607;1562328525;354499;0;
1562328525;364292;1562328525;364300;1562328525;364218;0;
1562328525;374601;1562328525;374607;1562328525;374537;0;
1562328525;384631;1562328525;384638;1562328525;384555;0;
1562328525;394640;1562328525;394647;1562328525;394574;0;
1562328525;404588;1562328525;404599;1562328525;404494;0;
1562328525;414511;1562328525;414519;1562328525;414412;0;
1562328525;424595;1562328525;424602;1562328525;424532;0;
1562328525;434610;1562328525;434617;1562328525;434549;0;
1562328525;444345;1562328525;444352;1562328525;444269;0;
1562328525;454658;1562328525;454666;1562328525;454587;0;
1562328525;464573;1562328525;464581;1562328525;464505;0;
1562328525;474603;1562328525;474612;1562328525;474524;0;
1562328525;484651;1562328525;484666;1562328525;484543;0;
1562328525;494447;1562328525;494456;1562328525;494362;0;
1562328525;504647;1562328525;504654;1562328525;504581;0;
1562328525;514584;1562328525;514595;1562328525;514499;0;
1562328525;524297;1562328525;524306;1562328525;524218;0;
1562328525;534606;1562328525;534614;1562328525;534537;0;
1562328525;544628;1562328525;544635;1562328525;544555;0;
1562328525;554651;1562328525;554660;1562328525;554575;0;
1562328525;564568;1562328525;564579;1562328525;564493;0;
1562328525;574482;1562328525;574491;1562328525;574412;0;
1562328525;584603;1562328525;584612;1562328525;584531;0;
1562328525;594622;1562328525;594631;1562328525;594549;0;
