sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;angularVelocityX;angularVelocityY;angularVelocityZ;
1562328524;648376;1562328524;648394;1562328524;142403;-0.0009541594;-0.00222245;-0.0003697957;
1562328524;648448;1562328524;648465;1562328524;147403;-0.0007541559;-0.001321933;-0.0002013651;
1562328524;648518;1562328524;648535;1562328524;152403;-0.0004991394;-0.001023382;0.00170316;
1562328524;648587;1562328524;648604;1562328524;157403;2.233369e-05;-0.002655109;-0.0001147945;
1562328524;690928;1562328524;690954;1562328524;162403;0.0008406268;-0.0006299195;0.0008916302;
1562328524;691018;1562328524;691042;1562328524;167403;0.0008398631;-0.002643537;0.001255702;
1562328524;691111;1562328524;691129;1562328524;172403;-0.0008557609;-0.002549689;0.000429587;
1562328524;691189;1562328524;691206;1562328524;177403;-0.0002932757;-0.002314155;0.001301696;
1562328524;734602;1562328524;734637;1562328524;182403;-0.0002287354;-0.002448363;0.001050074;
1562328524;734706;1562328524;734729;1562328524;187403;0.0006710945;-0.002383595;0.001171631;
1562328524;734781;1562328524;734802;1562328524;192403;-0.0008379356;-0.001891093;1.06883e-05;
1562328524;777130;1562328524;777162;1562328524;197403;-0.0005446454;-0.0008039357;-0.0004194844;
1562328524;777212;1562328524;777232;1562328524;202403;0.0005064014;-0.0009836282;-0.0006134517;
1562328524;777283;1562328524;777300;1562328524;207403;-0.0004420638;-0.002593623;0.0008097857;
1562328524;777346;1562328524;777366;1562328524;212403;0.000453712;-0.001471396;0.0004537534;
1562328524;777413;1562328524;777432;1562328524;217403;-0.0006708817;-0.002475282;0.0009763334;
1562328524;777479;1562328524;777498;1562328524;222403;-0.0002579411;-0.003786766;0.001793427;
1562328524;819810;1562328524;819832;1562328524;227403;-0.0004286555;-0.001843555;-0.0009898887;
1562328524;819881;1562328524;819901;1562328524;232403;0.0008004539;-0.002126349;0.0001220331;
1562328524;819945;1562328524;819963;1562328524;237403;0.0003976262;-0.002337328;0.0009575039;
1562328524;820006;1562328524;820025;1562328524;242403;0.0002640608;-0.002186615;0.0004469195;
1562328524;863378;1562328524;863398;1562328524;247403;-0.0003516319;-0.001508449;0.0006796365;
1562328524;863460;1562328524;863478;1562328524;252403;-0.001802948;-0.001402025;0.001757241;
1562328524;863529;1562328524;863547;1562328524;257403;-0.0002571863;-0.002116189;0.0004053422;
1562328524;863599;1562328524;863616;1562328524;262403;-0.000654329;-0.001117734;0.001063205;
1562328524;905906;1562328524;905921;1562328524;267403;-0.0004218487;-0.002882473;0.0007445619;
1562328524;905952;1562328524;905960;1562328524;272403;-0.0008706563;-0.001928156;0.0007654909;
1562328524;905988;1562328524;905996;1562328524;277403;0.0003772514;-0.001377353;0.0003263974;
1562328524;906023;1562328524;906032;1562328524;282403;0.001164399;-0.001446965;0.001242504;
1562328524;906060;1562328524;906069;1562328524;287403;-0.0001464392;-0.002007921;0.0004290591;
1562328524;949359;1562328524;949375;1562328524;292403;-0.001462372;-0.001298893;0.0009528673;
1562328524;949402;1562328524;949409;1562328524;297403;0.0001107557;-0.001084018;-0.0009506845;
1562328524;949431;1562328524;949439;1562328524;302403;-0.00046727;-0.001890466;0.0004731211;
1562328524;949466;1562328524;949473;1562328524;307403;-0.0001015697;-0.001625873;-0.0004174168;
1562328524;992767;1562328524;992781;1562328524;312403;-0.0007446312;-0.002877093;0.0003003989;
1562328524;992811;1562328524;992822;1562328524;317403;0.001048035;-0.001907173;0.0006718461;
1562328524;992858;1562328524;992868;1562328524;322403;-0.0003700674;-0.002400583;0.001554238;
1562328524;992902;1562328524;992913;1562328524;327403;-0.001099105;-0.001100289;0.001360633;
1562328525;35197;1562328525;35220;1562328524;332403;-0.0003567064;-0.001607011;0.0005629351;
1562328525;35278;1562328525;35293;1562328524;337403;-0.0008532774;-0.001699784;0.001434002;
1562328525;35344;1562328525;35359;1562328524;342403;0.000397851;-0.001434118;0.0006687818;
1562328525;35410;1562328525;35425;1562328524;347403;-0.0009397026;-0.002895062;0.002107153;
1562328525;35479;1562328525;35493;1562328524;352403;0.0005982339;-0.001524712;-0.0002855451;
1562328525;35543;1562328525;35558;1562328524;357403;-0.0009093223;-0.0008144812;4.345833e-05;
1562328525;78949;1562328525;78973;1562328524;362403;0.0004435935;-0.001851861;0.001119648;
1562328525;79019;1562328525;79035;1562328524;367403;-0.0005318659;-0.001112491;0.0006690071;
1562328525;121365;1562328525;121388;1562328524;372403;-0.0005148952;-0.001113383;0.0008582739;
1562328525;121444;1562328525;121465;1562328524;377403;-4.702747e-05;-0.001776384;-0.0001231256;
1562328525;121524;1562328525;121545;1562328524;382403;-2.802796e-05;-0.001337828;0.000957859;
1562328525;121606;1562328525;121627;1562328524;387403;-0.0009406802;-0.002055772;-0.0002372237;
1562328525;121690;1562328525;121712;1562328524;392403;0.001044287;-0.002391218;0.0004773341;
1562328525;121774;1562328525;121795;1562328524;397403;-8.323161e-05;-0.003109747;9.537827e-05;
1562328525;164133;1562328525;164156;1562328524;402403;-0.0003770842;-0.002002001;0.0001342549;
1562328525;164217;1562328525;164235;1562328524;407403;0.0002580848;-0.002403894;3.078797e-06;
1562328525;164298;1562328525;164313;1562328524;412403;-0.001255156;-0.001424422;0.0009895129;
1562328525;164367;1562328525;164384;1562328524;417403;0.0002981554;-0.002387311;0.0004105148;
1562328525;207725;1562328525;207743;1562328524;422403;-0.0007489062;-0.00189953;0.001087216;
1562328525;207793;1562328525;207807;1562328524;427403;-0.0008120353;-0.003104364;0.0009983381;
1562328525;207849;1562328525;207859;1562328524;432403;-0.0001659131;-0.002694986;0.0005230108;
1562328525;207896;1562328525;207906;1562328524;437403;-0.0004146639;-0.0004075193;0.0004447744;
1562328525;207942;1562328525;207952;1562328524;442403;-0.00093107;-0.001837785;0.001147817;
1562328525;207987;1562328525;207998;1562328524;447403;-0.0007412824;-0.0009863565;0.001022313;
1562328525;250309;1562328525;250334;1562328524;452403;-0.0009761409;-0.003046095;0.0007879784;
1562328525;250409;1562328525;250427;1562328524;457403;-0.001459472;-0.002118367;0.001295068;
1562328525;250511;1562328525;250529;1562328524;462403;-0.0005653264;-0.001869858;0.0002168065;
1562328525;250584;1562328525;250602;1562328524;467403;0.0002902029;-0.001603643;0.0007770708;
1562328525;293994;1562328525;294016;1562328524;472403;0.000435162;-0.003067824;0.0009604432;
1562328525;294073;1562328525;294094;1562328524;477403;-0.0005026221;-0.00160963;0.0006636777;
1562328525;294155;1562328525;294176;1562328524;482403;-0.001700156;-0.001702423;0.0004885615;
1562328525;294236;1562328525;294258;1562328524;487403;-0.0003261479;-0.001220588;-0.0004718819;
1562328525;336576;1562328525;336596;1562328524;492403;-0.0004199017;-0.001296615;0.0008045819;
1562328525;336642;1562328525;336655;1562328524;497403;-0.001197443;-0.00129623;-0.001145716;
1562328525;336691;1562328525;336704;1562328524;502403;0.0001185035;-0.002265456;0.001931234;
1562328525;336739;1562328525;336752;1562328524;507403;0.0004453273;-0.001284474;0.0005668103;
1562328525;336789;1562328525;336802;1562328524;512403;-0.001300423;-0.002788651;8.338373e-05;
1562328525;380149;1562328525;380164;1562328524;517403;-0.0004558801;-0.002507068;0.0005463743;
1562328525;380200;1562328525;380212;1562328524;522403;-0.001176891;-0.001772678;0.000738267;
1562328525;380246;1562328525;380257;1562328524;527403;-0.0006206288;-0.001567721;0.0007018361;
1562328525;380295;1562328525;380307;1562328524;532403;1.591685e-05;-0.002065581;-0.0002398798;
1562328525;422559;1562328525;422574;1562328524;537403;-0.001461666;-0.0009671953;0.001671986;
1562328525;422610;1562328525;422623;1562328524;542403;0.0004344745;-0.001601103;0.0005179045;
1562328525;422656;1562328525;422667;1562328524;547403;7.309872e-05;-0.001044806;-0.0005041651;
1562328525;422702;1562328525;422714;1562328524;552403;-0.0001418824;-0.001446604;0.000522826;
1562328525;422746;1562328525;422758;1562328524;557403;0.0004986002;-0.002906407;0.0004236348;
1562328525;422792;1562328525;422802;1562328524;562403;0.001000509;-0.001922272;0.0005386638;
1562328525;466074;1562328525;466088;1562328524;567403;-0.001509321;-0.001683869;0.0006225237;
1562328525;466122;1562328525;466133;1562328524;572403;-0.0001045828;-0.001660096;0.0007350805;
1562328525;466167;1562328525;466179;1562328524;577403;-0.0002802347;-0.002556425;-7.799175e-05;
1562328525;466212;1562328525;466224;1562328524;582403;-0.0005222164;-0.002682062;0.0004480009;
1562328525;508524;1562328525;508550;1562328524;587403;-0.0009637842;-0.003188608;0.000611968;
1562328525;508614;1562328525;508631;1562328524;592403;0.000847214;-0.001528433;-0.0008946212;
1562328525;508684;1562328525;508703;1562328524;597403;0.0006036798;-0.002943695;0.001055929;
1562328525;508755;1562328525;508773;1562328524;602403;-0.001057397;-0.001741271;0.000433847;
1562328525;508830;1562328525;508847;1562328524;607403;0.0009701376;-0.001154159;-9.093039e-05;
1562328525;508900;1562328525;508918;1562328524;612403;-0.001621954;-0.001609767;-0.0004193228;
1562328525;508972;1562328525;508990;1562328524;617403;-0.000479704;-0.001527883;0.0003866356;
1562328525;552311;1562328525;552325;1562328524;622403;-0.00136456;-0.002143322;0.0008266788;
1562328525;552367;1562328525;552379;1562328524;627403;0.0003693129;-0.001547626;0.0002468606;
1562328525;552411;1562328525;552423;1562328524;632403;0.0001275175;-0.002232033;0.001153783;
1562328525;552456;1562328525;552468;1562328524;637403;-0.0006048289;-0.001621094;0.0009507835;
1562328525;594760;1562328525;594773;1562328524;642403;0.001148522;-0.002769465;0.0008728702;
1562328525;594808;1562328525;594820;1562328524;647403;-0.0004816705;-0.002214246;0.001175558;
1562328525;594853;1562328525;594865;1562328524;652403;-0.0005722367;-0.00167326;0.0004263247;
1562328525;594898;1562328525;594910;1562328524;657403;-0.000810727;-0.002833384;0.001617725;
1562328525;638244;1562328525;638267;1562328524;662403;0.0002648358;-0.001880106;1.330207e-05;
1562328525;638344;1562328525;638359;1562328524;667403;-0.0005801293;-0.001045293;0.001585323;
1562328525;638411;1562328525;638429;1562328524;672403;-0.000401505;-0.001928864;0.001990306;
1562328525;680699;1562328525;680719;1562328524;677403;-0.0005969524;-0.001310807;-0.0003768342;
1562328525;680770;1562328525;680782;1562328524;682403;-0.0004088825;-0.001034286;-0.0001322412;
1562328525;680819;1562328525;680831;1562328524;687403;0.0005606974;-0.003301615;0.000597554;
1562328525;680867;1562328525;680879;1562328524;692403;-0.0008931895;-0.002674623;0.0009374825;
1562328525;680916;1562328525;680928;1562328524;697403;-0.00122287;-0.001369239;-0.0001050073;
1562328525;680966;1562328525;680978;1562328524;702403;0.0007732511;-0.001110138;0.001308817;
1562328525;724315;1562328525;724339;1562328524;707403;-0.001196585;-0.00307951;0.001551803;
1562328525;724397;1562328525;724418;1562328524;712403;-0.001009988;-0.002752472;0.001025954;
1562328525;724478;1562328525;724499;1562328524;717403;-0.0002115393;-0.001728184;0.001187879;
1562328525;724567;1562328525;724593;1562328524;722403;0.0007800431;-0.001665663;0.0002130082;
1562328525;766888;1562328525;766902;1562328524;727403;-0.0009315442;-0.001321896;0.001531724;
1562328525;766937;1562328525;766949;1562328524;732403;0.0002080181;-0.001671843;0.001712325;
1562328525;766980;1562328525;766993;1562328524;737403;-0.001065656;-0.001572098;0.0007609762;
1562328525;767028;1562328525;767040;1562328524;742403;-0.0002965692;-0.001526189;0.0007944947;
1562328525;767071;1562328525;767083;1562328524;747403;0.0001761614;-0.002025919;-7.645541e-05;
1562328525;767116;1562328525;767128;1562328524;752403;-0.0004199042;-0.002090873;0.001549526;
1562328525;810430;1562328525;810445;1562328524;757403;-0.0007373807;-0.001236104;6.520562e-05;
1562328525;810485;1562328525;810493;1562328524;762403;-0.000479619;-0.001154225;0.0008224309;
1562328525;810525;1562328525;810532;1562328524;767403;-0.0005013958;-0.002148893;0.0005363995;
1562328525;810557;1562328525;810564;1562328524;772403;-0.0004931886;-0.002175246;-6.98546e-05;
1562328525;852824;1562328525;852848;1562328524;777403;0.0001113573;-0.001726169;0.000456257;
1562328525;852917;1562328525;852937;1562328524;782403;-0.001235049;-0.002384216;0.0005507642;
1562328525;852991;1562328525;853012;1562328524;787403;-0.001039347;-0.0009933108;-0.0004853876;
1562328525;853066;1562328525;853087;1562328524;792403;0.0009015753;-0.002881679;0.0007347213;
1562328525;853141;1562328525;853162;1562328524;797403;-0.0005667578;-0.0020829;0.0008812915;
1562328525;896493;1562328525;896507;1562328524;802403;0.0005192237;-0.002127166;0.0004388673;
1562328525;896540;1562328525;896547;1562328524;807403;0.0002419844;-0.001456742;0.0001704505;
1562328525;896570;1562328525;896577;1562328524;812403;0.0005769468;-0.002252101;-0.0006324266;
1562328525;896605;1562328525;896612;1562328524;817403;-0.0001338012;-0.001219661;0.0004291444;
1562328525;938862;1562328525;938883;1562328524;822403;0.0002719715;-0.001535253;6.870327e-05;
1562328525;938943;1562328525;938961;1562328524;827403;-0.0003649754;-0.0007210622;0.001636845;
1562328525;939014;1562328525;939031;1562328524;832403;3.402752e-05;-0.003092518;0.0007881111;
1562328525;939083;1562328525;939101;1562328524;837403;0.0003217535;-0.001417244;0.0003578916;
1562328525;982453;1562328525;982475;1562328524;842403;0.0005490333;-0.003064144;-2.353012e-05;
1562328525;982520;1562328525;982535;1562328524;847403;-0.001391514;-0.001067706;0.00126293;
1562328525;982592;1562328525;982612;1562328524;852403;-0.0008908943;-0.000977479;0.0009380027;
1562328525;982662;1562328525;982683;1562328524;857403;-0.0004281816;-0.001773977;-0.000531062;
1562328525;982739;1562328525;982760;1562328524;862403;0.001496163;0.0002196072;-0.0002925594;
1562328525;982813;1562328525;982834;1562328524;867403;-0.0005238329;-0.002857478;0.001254997;
1562328526;25099;1562328526;25113;1562328524;872403;-0.0006702681;-0.002397494;-0.000309758;
