sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1562328527;620992;1562328527;621012;1562328527;620983;57.709207183;11.946687929;
1562328527;661132;1562328527;661154;1562328527;661124;57.709207183;11.946687929;
1562328527;701291;1562328527;701311;1562328527;701283;57.709207183;11.946687929;
1562328527;741440;1562328527;741460;1562328527;741432;57.709207226;11.946687891;
1562328527;781594;1562328527;781627;1562328527;781583;57.709207226;11.946687891;
1562328527;821781;1562328527;821805;1562328527;821773;57.70920727;11.946687853;
1562328527;861946;1562328527;861969;1562328527;861936;57.70920727;11.946687853;
1562328527;902103;1562328527;902129;1562328527;902093;57.709207313;11.946687817;
1562328527;942260;1562328527;942281;1562328527;942251;57.709207313;11.946687817;
1562328527;982414;1562328527;982444;1562328527;982403;57.70920753;11.946687633;
1562328528;22616;1562328528;22649;1562328528;22604;57.70920753;11.946687633;
1562328528;62810;1562328528;62838;1562328528;62801;57.709207574;11.946687595;
1562328528;102975;1562328528;103001;1562328528;102964;57.709207574;11.946687595;
1562328528;143179;1562328528;143217;1562328528;143166;57.709207618;11.946687558;
1562328528;183387;1562328528;183418;1562328528;183375;57.709207618;11.946687558;
1562328528;223586;1562328528;223614;1562328528;223566;57.709207618;11.946687558;
1562328528;263766;1562328528;263794;1562328528;263754;57.709207618;11.946687558;
1562328528;303982;1562328528;304013;1562328528;303969;57.709207927;11.946687274;
1562328528;344183;1562328528;344213;1562328528;344170;57.709207927;11.946687274;
1562328528;384365;1562328528;384401;1562328528;384350;57.709207971;11.94668723;
1562328528;424566;1562328528;424602;1562328528;424555;57.709207971;11.94668723;
1562328528;464759;1562328528;464781;1562328528;464749;57.709208016;11.94668719;
1562328528;504917;1562328528;504937;1562328528;504909;57.709208016;11.94668719;
1562328528;545074;1562328528;545109;1562328528;545059;57.70920806;11.946687149;
1562328528;585279;1562328528;585304;1562328528;585269;57.70920806;11.946687149;
1562328528;625441;1562328528;625474;1562328528;625428;57.709208105;11.946687111;
1562328528;665623;1562328528;665643;1562328528;665614;57.709208284;11.946686959;
1562328528;705772;1562328528;705797;1562328528;705762;57.70920833;11.94668692;
1562328528;745959;1562328528;745991;1562328528;745946;57.70920833;11.94668692;
1562328528;786149;1562328528;786180;1562328528;786137;57.709208375;11.946686883;
1562328528;826345;1562328528;826372;1562328528;826335;57.709208375;11.946686883;
1562328528;866736;1562328528;866762;1562328528;866519;57.70920842;11.946686837;
1562328528;906918;1562328528;906947;1562328528;906903;57.70920842;11.946686837;
1562328528;947134;1562328528;947174;1562328528;947122;57.70920842;11.946686837;
1562328528;987340;1562328528;987371;1562328528;987327;57.709208692;11.946686604;
1562328529;27537;1562328529;27570;1562328529;27522;57.709208738;11.946686566;
1562328529;67745;1562328529;67771;1562328529;67727;57.709208738;11.946686566;
1562328529;107914;1562328529;107940;1562328529;107902;57.709208784;11.946686527;
1562328529;148099;1562328529;148132;1562328529;148086;57.709208784;11.946686527;
1562328529;188294;1562328529;188329;1562328529;188280;57.70920883;11.946686488;
1562328529;228520;1562328529;228554;1562328529;228506;57.70920883;11.946686488;
1562328529;268729;1562328529;268765;1562328529;268716;57.709208876;11.94668645;
1562328529;308939;1562328529;308976;1562328529;308926;57.709208922;11.946686411;
1562328529;349163;1562328529;349197;1562328529;349148;57.709208922;11.946686411;
1562328529;389387;1562328529;389421;1562328529;389374;57.709208922;11.946686411;
1562328529;429612;1562328529;429638;1562328529;429600;57.70920906;11.946686287;
1562328529;469788;1562328529;469817;1562328529;469776;57.70920906;11.946686287;
1562328529;509969;1562328529;510007;1562328529;509951;57.70920906;11.946686287;
1562328529;550184;1562328529;550216;1562328529;550170;57.70920906;11.946686287;
1562328529;590382;1562328529;590415;1562328529;590361;57.709209526;11.946685889;
1562328529;630617;1562328529;630651;1562328529;630605;57.709209526;11.946685889;
