sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;accelerationX;accelerationY;accelerationZ;
1562328524;905969;1562328524;905977;1562328524;272403;-0.4063403;-0.0362938;-9.806963;
1562328524;906005;1562328524;906013;1562328524;277403;-0.4287045;-0.05651012;-9.810328;
1562328524;906040;1562328524;906048;1562328524;282403;-0.4147525;-0.05786085;-9.817925;
1562328524;906077;1562328524;906085;1562328524;287403;-0.4369411;-0.06451608;-9.811383;
1562328524;949386;1562328524;949393;1562328524;292403;-0.4208168;-0.06003583;-9.798299;
1562328524;949416;1562328524;949424;1562328524;297403;-0.4095583;-0.0463637;-9.811502;
1562328524;949446;1562328524;949453;1562328524;302403;-0.4176542;-0.05783481;-9.811762;
1562328524;949482;1562328524;949489;1562328524;307403;-0.4011345;-0.05235014;-9.806005;
1562328524;992796;1562328524;992803;1562328524;312403;-0.3924418;-0.05072754;-9.807025;
1562328524;992834;1562328524;992845;1562328524;317403;-0.4065057;-0.03972159;-9.797646;
1562328524;992879;1562328524;992889;1562328524;322403;-0.4271441;-0.04068817;-9.820164;
1562328524;992924;1562328524;992933;1562328524;327403;-0.4059786;-0.04106164;-9.814341;
1562328525;35242;1562328525;35258;1562328524;332403;-0.400286;-0.03825298;-9.813046;
1562328525;35309;1562328525;35324;1562328524;337403;-0.4017856;-0.03814143;-9.801692;
1562328525;35375;1562328525;35390;1562328524;342403;-0.3993166;-0.0367046;-9.800804;
1562328525;35441;1562328525;35456;1562328524;347403;-0.3992191;-0.05387456;-9.789874;
1562328525;35509;1562328525;35524;1562328524;352403;-0.4019668;-0.05227155;-9.793377;
1562328525;35575;1562328525;35590;1562328524;357403;-0.3965407;-0.0524992;-9.781116;
1562328525;78991;1562328525;79004;1562328524;362403;-0.4026522;-0.05442107;-9.796197;
1562328525;79053;1562328525;79073;1562328524;367403;-0.396264;-0.06056748;-9.775243;
1562328525;121404;1562328525;121423;1562328524;372403;-0.3986749;-0.06033213;-9.78054;
1562328525;121482;1562328525;121503;1562328524;377403;-0.4136229;-0.03889623;-9.788737;
1562328525;121563;1562328525;121584;1562328524;382403;-0.4013271;-0.03684513;-9.782263;
1562328525;121645;1562328525;121666;1562328524;387403;-0.4003389;-0.03168501;-9.787207;
1562328525;121731;1562328525;121752;1562328524;392403;-0.395426;-0.03282488;-9.787482;
1562328525;121813;1562328525;121833;1562328524;397403;-0.4092719;-0.04305484;-9.794747;
1562328525;164176;1562328525;164197;1562328524;402403;-0.3963833;-0.0398837;-9.805285;
1562328525;164250;1562328525;164269;1562328524;407403;-0.3874174;-0.02738222;-9.80952;
1562328525;164329;1562328525;164348;1562328524;412403;-0.375062;-0.03893028;-9.807087;
