sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSpeed;
1562328532;804851;1562328532;804859;1562328532;804817;0.1601006;
1562328532;845009;1562328532;845021;1562328532;844947;0.1602338;
1562328532;885170;1562328532;885179;1562328532;885116;0.1602338;
1562328532;925293;1562328532;925301;1562328532;925262;0.1610147;
1562328532;965414;1562328532;965422;1562328532;965380;0.1610147;
1562328533;5532;1562328533;5540;1562328533;5499;0.1613009;
1562328533;45655;1562328533;45663;1562328533;45622;0.1613009;
1562328533;86071;1562328533;86087;1562328533;85751;0.1613009;
1562328533;126232;1562328533;126241;1562328533;126189;0.1613009;
1562328533;166394;1562328533;166407;1562328533;166328;0.1636138;
1562328533;206571;1562328533;206580;1562328533;206518;0.1636138;
1562328533;246721;1562328533;246733;1562328533;246669;0.1639533;
1562328533;286892;1562328533;286904;1562328533;286823;0.1639533;
1562328533;327080;1562328533;327097;1562328533;327002;0.1640007;
1562328533;367346;1562328533;367366;1562328533;367293;0.1640007;
1562328533;407520;1562328533;407529;1562328533;407483;0.164069;
1562328533;447707;1562328533;447720;1562328533;447630;0.164069;
1562328533;487899;1562328533;487913;1562328533;487850;0.1642024;
1562328533;528060;1562328533;528075;1562328533;528008;0.1644687;
1562328533;568234;1562328533;568249;1562328533;568187;0.1644687;
1562328533;608392;1562328533;608406;1562328533;608334;0.1644906;
1562328533;648550;1562328533;648567;1562328533;648512;0.1644906;
1562328533;688736;1562328533;688746;1562328533;688674;0.1644906;
1562328533;728896;1562328533;728907;1562328533;728845;0.1644906;
1562328533;769053;1562328533;769063;1562328533;769001;0.1655643;
1562328533;809230;1562328533;809240;1562328533;809160;0.1655643;
1562328533;849388;1562328533;849396;1562328533;849330;0.1655643;
1562328533;889546;1562328533;889555;1562328533;889487;0.1675194;
1562328533;929705;1562328533;929722;1562328533;929641;0.1675194;
1562328533;969858;1562328533;969870;1562328533;969825;0.1677602;
1562328534;10056;1562328534;10075;1562328534;9969;0.1678545;
1562328534;50261;1562328534;50268;1562328534;50199;0.1678545;
1562328534;90411;1562328534;90425;1562328534;90356;0.1682232;
1562328534;130599;1562328534;130622;1562328534;130540;0.1682232;
1562328534;170776;1562328534;170788;1562328534;170735;0.1685348;
1562328534;210958;1562328534;210970;1562328534;210890;0.1685348;
1562328534;251117;1562328534;251131;1562328534;251066;0.1685473;
1562328534;291308;1562328534;291324;1562328534;291233;0.1685473;
1562328534;331510;1562328534;331530;1562328534;331454;0.1685473;
1562328534;371701;1562328534;371719;1562328534;371638;0.1686478;
1562328534;411898;1562328534;411911;1562328534;411832;0.1688107;
1562328534;452060;1562328534;452073;1562328534;452003;0.1688107;
1562328534;492220;1562328534;492232;1562328534;492169;0.1688107;
1562328534;532372;1562328534;532386;1562328534;532328;0.1688107;
1562328534;572515;1562328534;572528;1562328534;572480;0.1708826;
1562328534;612699;1562328534;612712;1562328534;612628;0.1708826;
1562328534;652857;1562328534;652869;1562328534;652805;0.1714385;
1562328534;693031;1562328534;693045;1562328534;692967;0.1714385;
1562328534;733199;1562328534;733208;1562328534;733152;0.1715723;
1562328534;773332;1562328534;773341;1562328534;773294;0.1715723;
1562328534;813512;1562328534;813532;1562328534;813430;0.1715526;
1562328534;853676;1562328534;853688;1562328534;853640;0.1716401;
1562328534;893848;1562328534;893857;1562328534;893781;0.1716401;
1562328534;934012;1562328534;934022;1562328534;933950;0.1716401;
1562328534;974218;1562328534;974228;1562328534;974144;0.172093;
1562328535;14386;1562328535;14397;1562328535;14325;0.172093;
1562328535;54566;1562328535;54584;1562328535;54492;0.1724868;
1562328535;94781;1562328535;94799;1562328535;94708;0.1724868;
1562328535;134981;1562328535;134999;1562328535;134913;0.1726054;
1562328535;175163;1562328535;175182;1562328535;175111;0.1726054;
1562328535;215387;1562328535;215405;1562328535;215304;0.1726054;
1562328535;255602;1562328535;255620;1562328535;255524;0.1741099;
1562328535;295781;1562328535;295801;1562328535;295728;0.1741099;
1562328535;335964;1562328535;335986;1562328535;335906;0.1745206;
1562328535;376168;1562328535;376187;1562328535;376096;0.1745206;
1562328535;416348;1562328535;416367;1562328535;416295;0.1747488;
1562328535;456516;1562328535;456535;1562328535;456471;0.1747488;
1562328535;496694;1562328535;496705;1562328535;496650;0.1753429;
1562328535;536854;1562328535;536871;1562328535;536798;0.1753429;
1562328535;577094;1562328535;577115;1562328535;576971;0.1758808;
1562328535;617316;1562328535;617327;1562328535;617248;0.1758808;
1562328535;657495;1562328535;657503;1562328535;657433;0.1758547;
1562328535;697651;1562328535;697661;1562328535;697593;0.1772484;
1562328535;737789;1562328535;737797;1562328535;737750;0.1772484;
1562328535;777965;1562328535;777978;1562328535;777892;0.1774645;
1562328535;818118;1562328535;818128;1562328535;818069;0.1774645;
1562328535;858295;1562328535;858309;1562328535;858235;0.1777034;
1562328535;898442;1562328535;898451;1562328535;898404;0.1777034;
1562328535;938575;1562328535;938584;1562328535;938537;0.1785277;
